Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;1000;0.05796170234680176;681;1630;335;554;0.7221875;0.6702755905511811;0.551417004048583;0.6050644158151932
SGDClassifier;1000;0.1459190845489502;1093;1124;841;142;0.6928125;0.5651499482936918;0.8850202429149797;0.689807510255601
LinearSVC;1000;0.16391396522521973;752;1601;364;483;0.7353125;0.6738351254480287;0.6089068825910932;0.6397277754147173
GaussianNB;1000;0.3538045883178711;970;963;1002;265;0.6040625;0.4918864097363083;0.7854251012145749;0.6049267227938884
DecisionTreeClassifier;1000;8.442588090896606;1130;1493;472;105;0.8196875;0.7053682896379525;0.9149797570850202;0.7966161438138879
RandomForestClassifier;1000;2.176755666732788;1097;1569;396;138;0.833125;0.7347622237106497;0.8882591093117409;0.8042521994134898
MLPClassifier;1000;71.41063475608826;1127;1631;334;108;0.861875;0.7713894592744696;0.9125506072874494;0.836053412462908
Logisticregression;1000;0.05696725845336914;692;1563;365;580;0.7046875;0.6546830652790918;0.5440251572327044;0.5942464577071704
SGDClassifier;1000;0.14693307876586914;752;1546;382;520;0.718125;0.6631393298059964;0.5911949685534591;0.6251039068994182
LinearSVC;1000;0.15499043464660645;764;1525;403;508;0.7153125;0.6546700942587832;0.60062893081761;0.6264862648626486
GaussianNB;1000;0.3532865047454834;1017;845;1083;255;0.581875;0.48428571428571426;0.7995283018867925;0.603202846975089
DecisionTreeClassifier;1000;8.086270093917847;1132;1480;448;140;0.81625;0.7164556962025317;0.889937106918239;0.7938288920056101
RandomForestClassifier;1000;2.408663511276245;1125;1577;351;147;0.844375;0.7621951219512195;0.8844339622641509;0.8187772925764192
MLPClassifier;1000;73.1606833934784;1130;1623;305;142;0.8603125;0.7874564459930313;0.8883647798742138;0.8348725526413003
Logisticregression;1000;0.05796670913696289;707;1543;394;556;0.703125;0.6421435059037239;0.5597783056215361;0.5981387478849409
SGDClassifier;1000;0.14691686630249023;767;1501;436;496;0.70875;0.6375727348295926;0.6072842438638163;0.6220600162206001
LinearSVC;1000;0.15693926811218262;772;1488;449;491;0.70625;0.6322686322686323;0.611243072050673;0.6215780998389694
GaussianNB;1000;0.3338475227355957;970;933;1004;293;0.5946875;0.49138804457953394;0.768012668250198;0.5993203583565029
DecisionTreeClassifier;1000;7.921525716781616;1136;1429;508;127;0.8015625;0.6909975669099757;0.89944576405384;0.7815617475060199
RandomForestClassifier;1000;2.154757261276245;1112;1532;405;151;0.82625;0.7330257086354647;0.880443388756928;0.8
MLPClassifier;1000;74.06098103523254;1129;1654;283;134;0.8696875;0.7995750708215298;0.8939034045922407;0.8441121495327104
Logisticregression;1000;0.07595491409301758;693;1601;332;574;0.716875;0.6760975609756098;0.5469613259668509;0.6047120418848168
SGDClassifier;1000;0.14591407775878906;885;1399;534;382;0.71375;0.6236786469344608;0.6985003946329913;0.6589724497393894
LinearSVC;1000;0.14691567420959473;764;1556;377;503;0.725;0.6695880806310254;0.6029992107340174;0.6345514950166112
GaussianNB;1000;0.3448019027709961;970;869;1064;297;0.5746875;0.4768928220255654;0.7655880031570639;0.587700696758558
DecisionTreeClassifier;1000;7.929082632064819;1158;1499;434;109;0.8303125;0.7273869346733668;0.9139700078926598;0.8100734522560336
RandomForestClassifier;1000;2.2324697971343994;1116;1540;393;151;0.83;0.7395626242544732;0.8808208366219415;0.8040345821325648
MLPClassifier;1000;73.47505640983582;1115;1731;202;152;0.889375;0.8466211085801063;0.8800315706393055;0.8630030959752322
Logisticregression;1000;0.06496238708496094;675;1598;346;581;0.7103125;0.6611165523996082;0.5374203821656051;0.5928853754940712
SGDClassifier;1000;0.15790033340454102;756;1546;398;500;0.719375;0.6551126516464472;0.6019108280254777;0.6273858921161826
LinearSVC;1000;0.17290353775024414;746;1567;377;510;0.7228125;0.6642920747996438;0.5939490445859873;0.6271542664985289
GaussianNB;1000;0.36379361152648926;977;875;1069;279;0.57875;0.47751710654936463;0.7778662420382165;0.5917625681405209
DecisionTreeClassifier;1000;8.399596214294434;1146;1469;475;110;0.8171875;0.7069710055521283;0.9124203821656051;0.7966631908237749
RandomForestClassifier;1000;2.171208381652832;1128;1536;408;128;0.8325;0.734375;0.8980891719745223;0.8080229226361032
MLPClassifier;1000;76.61209535598755;1133;1640;304;123;0.8665625;0.7884481558803061;0.9020700636942676;0.8414407723728184
