Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;1000;0.045974016189575195;386;1759;195;860;0.6703125;0.6643717728055077;0.3097913322632424;0.42255062944718125
SGDClassifier;1000;0.14693617820739746;348;1797;157;898;0.6703125;0.689108910891089;0.27929373996789725;0.3974871501998858
LinearSVC;1000;0.11391997337341309;429;1734;220;817;0.6759375;0.6610169491525424;0.34430176565008025;0.4527704485488127
GaussianNB;1000;0.3388245105743408;480;1676;278;766;0.67375;0.633245382585752;0.3852327447833066;0.4790419161676647
DecisionTreeClassifier;1000;62.69657325744629;511;1709;245;735;0.69375;0.6759259259259259;0.4101123595505618;0.5104895104895105
RandomForestClassifier;1000;13.05211329460144;529;1692;262;717;0.6940625;0.6687737041719343;0.4245585874799358;0.5193912616593029
MLPClassifier;1000;45.152693033218384;538;1728;226;708;0.708125;0.7041884816753927;0.4317817014446228;0.5353233830845772
Logisticregression;1000;0.043992042541503906;407;1751;169;873;0.674375;0.7065972222222222;0.31796875;0.4385775862068966
SGDClassifier;1000;0.15689396858215332;389;1760;160;891;0.6715625;0.7085610200364298;0.30390625;0.42536905412793874
LinearSVC;1000;0.1319282054901123;470;1718;202;810;0.68375;0.6994047619047619;0.3671875;0.48155737704918034
GaussianNB;1000;0.35338735580444336;446;1683;237;834;0.6653125;0.6530014641288433;0.3484375;0.45440652063168624
DecisionTreeClassifier;1000;64.63492703437805;558;1706;214;722;0.7075;0.7227979274611399;0.4359375;0.543859649122807
RandomForestClassifier;1000;14.453665494918823;600;1673;247;680;0.7103125;0.7083825265643447;0.46875;0.5641748942172073
MLPClassifier;1000;55.74362087249756;601;1702;218;679;0.7196875;0.7338217338217338;0.46953125;0.5726536445926631
Logisticregression;1000;0.04816627502441406;409;1731;201;859;0.66875;0.6704918032786885;0.3225552050473186;0.4355697550585729
SGDClassifier;1000;0.18109703063964844;483;1674;258;785;0.6740625;0.6518218623481782;0.38091482649842273;0.4808362369337979
LinearSVC;1000;0.12393403053283691;476;1693;239;792;0.6778125;0.6657342657342658;0.3753943217665615;0.48008068582955127
GaussianNB;1000;0.35350775718688965;501;1640;292;767;0.6690625;0.6317780580075663;0.3951104100946372;0.4861717612809316
DecisionTreeClassifier;1000;67.47014284133911;570;1650;282;698;0.69375;0.6690140845070423;0.44952681388012616;0.5377358490566037
RandomForestClassifier;1000;14.150655269622803;585;1650;282;683;0.6984375;0.6747404844290658;0.4613564668769716;0.548009367681499
MLPClassifier;1000;40.332077980041504;621;1664;268;647;0.7140625;0.6985376827896513;0.48974763406940064;0.5757997218358832
Logisticregression;1000;0.04398989677429199;389;1751;182;878;0.66875;0.681260945709282;0.30702446724546173;0.42328618063112083
SGDClassifier;1000;0.17993998527526855;350;1783;150;917;0.6665625;0.7;0.27624309392265195;0.39615166949632147
LinearSVC;1000;0.11493587493896484;457;1690;243;810;0.6709375;0.6528571428571428;0.3606945540647198;0.4646670055922725
GaussianNB;1000;0.3467881679534912;486;1648;285;781;0.666875;0.6303501945525292;0.3835832675611681;0.47693817468105987
DecisionTreeClassifier;1000;61.97135543823242;528;1684;249;739;0.69125;0.6795366795366795;0.4167324388318863;0.5166340508806262
RandomForestClassifier;1000;12.904623985290527;554;1653;280;713;0.6896875;0.6642685851318945;0.43725335438042623;0.5273679200380771
MLPClassifier;1000;51.31895661354065;537;1725;208;730;0.706875;0.7208053691275168;0.4238358326756117;0.5337972166998013
Logisticregression;1000;0.05544471740722656;396;1788;180;836;0.6825;0.6875;0.32142857142857145;0.4380530973451328
SGDClassifier;1000;0.1549239158630371;362;1812;156;870;0.679375;0.6988416988416989;0.29383116883116883;0.4137142857142857
LinearSVC;1000;0.1009526252746582;453;1747;221;779;0.6875;0.672106824925816;0.3676948051948052;0.4753410283315844
GaussianNB;1000;0.3587815761566162;472;1695;273;760;0.6771875;0.6335570469798658;0.38311688311688313;0.47749114820435007
DecisionTreeClassifier;1000;65.08720803260803;551;1704;264;681;0.7046875;0.6760736196319018;0.4472402597402597;0.5383488031265266
RandomForestClassifier;1000;13.746811389923096;549;1698;270;683;0.7021875;0.6703296703296703;0.44561688311688313;0.5353486104339347
MLPClassifier;1000;50.68557786941528;571;1737;231;661;0.72125;0.7119700748129676;0.463474025974026;0.5614552605703048
