Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;1000;0.0579831600189209;740;1555;386;519;0.7171875;0.6571936056838366;0.5877680698967435;0.6205450733752621
SGDClassifier;1000;0.1519308090209961;572;1718;223;687;0.715625;0.7194968553459119;0.45432883240667193;0.5569620253164557
LinearSVC;1000;0.08095359802246094;803;1517;424;456;0.725;0.654441727791361;0.6378077839555203;0.6460176991150443
GaussianNB;1000;0.34981393814086914;1031;937;1004;228;0.615;0.5066339066339066;0.8189038919777601;0.625986642380085
DecisionTreeClassifier;1000;10.80161452293396;1160;1521;420;99;0.8378125;0.7341772151898734;0.9213661636219221;0.8171891511095456
RandomForestClassifier;1000;3.007303237915039;1121;1654;287;138;0.8671875;0.7961647727272727;0.8903891977760127;0.8406449193850769
MLPClassifier;1000;68.37195491790771;1156;1640;301;103;0.87375;0.7934111187371311;0.9181890389197777;0.8512518409425627
Logisticregression;1000;0.056967973709106445;714;1562;344;580;0.71125;0.6748582230623819;0.5517774343122102;0.6071428571428571
SGDClassifier;1000;0.15097928047180176;1007;1280;626;287;0.7146875;0.6166564605021433;0.7782071097372488;0.6880765288691493
LinearSVC;1000;0.08402824401855469;788;1496;410;506;0.71375;0.657762938230384;0.6089644513137558;0.6324237560192616
GaussianNB;1000;0.3415107727050781;1014;911;995;280;0.6015625;0.5047287207565954;0.7836166924265843;0.6139872842870118
DecisionTreeClassifier;1000;9.598040342330933;1158;1539;367;136;0.8428125;0.759344262295082;0.8948995363214838;0.8215679318907414
RandomForestClassifier;1000;2.6180591583251953;1134;1647;259;160;0.8690625;0.8140703517587939;0.8763523956723338;0.8440640119091923
MLPClassifier;1000;62.25408911705017;1167;1613;293;127;0.86875;0.7993150684931507;0.901854714064915;0.8474945533769064
Logisticregression;1000;0.05598282814025879;679;1636;358;527;0.7234375;0.6547733847637416;0.5630182421227198;0.6054391440035667
SGDClassifier;1000;0.14790892601013184;807;1544;450;399;0.7346875;0.6420047732696897;0.6691542288557214;0.6552984165651644
LinearSVC;1000;0.07596206665039062;746;1565;429;460;0.7221875;0.6348936170212766;0.6185737976782753;0.626627467450651
GaussianNB;1000;0.33797287940979004;966;903;1091;240;0.5840625;0.46961594555177444;0.8009950248756219;0.5920931657983451
DecisionTreeClassifier;1000;9.219815254211426;1108;1570;424;98;0.836875;0.7232375979112271;0.9187396351575456;0.8093498904309715
RandomForestClassifier;1000;2.941185712814331;1074;1719;275;132;0.8728125;0.7961452928094885;0.8905472636815921;0.8407045009784737
MLPClassifier;1000;69.19732284545898;1101;1702;292;105;0.8759375;0.7903804737975593;0.9129353233830846;0.8472489419007311
Logisticregression;1000;0.05896711349487305;715;1615;301;569;0.728125;0.7037401574803149;0.5568535825545171;0.6217391304347826
SGDClassifier;1000;0.14991402626037598;779;1552;364;505;0.7284375;0.6815398075240595;0.6066978193146417;0.6419447878038731
LinearSVC;1000;0.07995438575744629;796;1534;382;488;0.728125;0.6757215619694398;0.6199376947040498;0.6466287571080422
GaussianNB;1000;0.34380531311035156;1035;875;1041;249;0.596875;0.4985549132947977;0.8060747663551402;0.6160714285714285
DecisionTreeClassifier;1000;9.674835443496704;1142;1525;391;142;0.8334375;0.7449445531637312;0.8894080996884736;0.8107916222932198
RandomForestClassifier;1000;3.076958179473877;1098;1645;271;186;0.8571875;0.802045288531775;0.8551401869158879;0.8277421786656615
MLPClassifier;1000;88.84738612174988;1121;1693;223;163;0.879375;0.8340773809523809;0.8730529595015576;0.8531202435312024
Logisticregression;1000;0.05598878860473633;720;1587;363;530;0.7209375;0.6648199445983379;0.576;0.6172310330047149
SGDClassifier;1000;0.14595389366149902;667;1642;308;583;0.7215625;0.6841025641025641;0.5336;0.5995505617977528
LinearSVC;1000;0.07699418067932129;797;1509;441;453;0.720625;0.6437802907915994;0.6376;0.6406752411575563
GaussianNB;1000;0.33190083503723145;995;892;1058;255;0.5896875;0.4846566000974184;0.796;0.602482591583409
DecisionTreeClassifier;1000;10.107506275177002;1137;1527;423;113;0.8325;0.7288461538461538;0.9096;0.8092526690391459
RandomForestClassifier;1000;2.8526406288146973;1091;1670;280;159;0.8628125;0.7957695113056164;0.8728;0.8325066768409005
MLPClassifier;1000;65.8575541973114;1115;1686;264;135;0.8753125;0.8085569253081943;0.892;0.8482312666413084
