Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;20000;0.6486291885375977;1029;1688;240;243;0.8490625;0.8108747044917257;0.8089622641509434;0.8099173553719008
SGDClassifier;20000;2.312678337097168;1102;1608;320;170;0.846875;0.7749648382559775;0.8663522012578616;0.8181143281365998
LinearSVC;20000;0.7805540561676025;1137;1647;281;135;0.87;0.8018335684062059;0.8938679245283019;0.845353159851301
GaussianNB;20000;9.099798679351807;925;1694;234;347;0.8184375;0.7981018119068162;0.7272012578616353;0.7610037021801727
DecisionTreeClassifier;20000;145.715717792511;1162;1527;401;110;0.8403125;0.7434420985284709;0.9135220125786163;0.8197530864197531
RandomForestClassifier;20000;26.88961887359619;1104;1721;207;168;0.8828125;0.8421052631578947;0.8679245283018868;0.8548199767711963
MLPClassifier;20000;1324.9523544311523;1151;1607;321;121;0.861875;0.7819293478260869;0.904874213836478;0.8389212827988338
Logisticregression;20000;0.5936589241027832;1014;1692;233;261;0.845625;0.8131515637530072;0.7952941176470588;0.8041237113402062
SGDClassifier;20000;2.1737589836120605;1068;1627;298;207;0.8421875;0.7818448023426061;0.8376470588235294;0.8087845513063233
LinearSVC;20000;0.7455692291259766;1111;1651;274;164;0.863125;0.8021660649819494;0.8713725490196078;0.8353383458646615
GaussianNB;20000;10.111220836639404;892;1696;229;383;0.80875;0.7957181088314005;0.6996078431372549;0.7445742904841403
DecisionTreeClassifier;20000;151.45542454719543;1162;1571;354;113;0.8540625;0.7664907651715039;0.9113725490196078;0.8326764600501613
RandomForestClassifier;20000;24.675896883010864;1072;1752;173;203;0.8825;0.8610441767068273;0.8407843137254902;0.8507936507936508
MLPClassifier;20000;1171.6956305503845;1115;1683;242;160;0.874375;0.8216654384672071;0.8745098039215686;0.8472644376899696
Logisticregression;20000;0.7049582004547119;996;1726;250;228;0.850625;0.7993579454253612;0.8137254901960784;0.8064777327935223
SGDClassifier;20000;2.402303457260132;1037;1673;303;187;0.846875;0.7738805970149254;0.8472222222222222;0.8088923556942279
LinearSVC;20000;0.8674881458282471;1087;1692;284;137;0.8684375;0.7928519328956966;0.8880718954248366;0.8377649325626205
GaussianNB;20000;7.5792458057403564;876;1726;250;348;0.813125;0.7779751332149201;0.7156862745098039;0.7455319148936169
DecisionTreeClassifier;20000;156.75552105903625;1105;1590;386;119;0.8421875;0.7411133467471496;0.9027777777777778;0.8139963167587477
RandomForestClassifier;20000;25.642770528793335;1082;1784;192;142;0.895625;0.8492935635792779;0.8839869281045751;0.8662930344275421
MLPClassifier;20000;1353.4659876823425;1104;1658;318;120;0.863125;0.7763713080168776;0.9019607843137255;0.8344671201814058
Logisticregression;20000;0.7282540798187256;1033;1699;235;233;0.85375;0.8146687697160884;0.815955766192733;0.8153117600631413
SGDClassifier;20000;2.4650728702545166;946;1777;157;320;0.8509375;0.85766092475068;0.7472353870458136;0.7986492190797806
LinearSVC;20000;0.8110709190368652;1121;1683;251;145;0.87625;0.8170553935860059;0.8854660347551343;0.8498862774829417
GaussianNB;20000;6.8400068283081055;899;1676;258;367;0.8046875;0.777009507346586;0.7101105845181674;0.7420553033429633
DecisionTreeClassifier;20000;164.21210050582886;1156;1538;396;110;0.841875;0.7448453608247423;0.9131121642969984;0.8204400283889283
RandomForestClassifier;20000;28.744091272354126;1096;1741;193;170;0.8865625;0.8502715283165244;0.8657187993680885;0.8579256360078278
MLPClassifier;20000;1283.408315896988;1115;1670;264;151;0.8703125;0.8085569253081943;0.8807266982622433;0.8431001890359168
Logisticregression;20000;0.7635507583618164;1037;1724;220;219;0.8628125;0.8249801113762928;0.8256369426751592;0.825308396339037
SGDClassifier;20000;2.33229660987854;1024;1732;212;232;0.86125;0.8284789644012945;0.8152866242038217;0.8218298555377207
LinearSVC;20000;0.8239068984985352;1122;1690;254;134;0.87875;0.815406976744186;0.893312101910828;0.8525835866261399
GaussianNB;20000;6.607942581176758;880;1727;217;376;0.8146875;0.8021877848678214;0.7006369426751592;0.7479813004674883
DecisionTreeClassifier;20000;170.73193049430847;1138;1561;383;118;0.8434375;0.7481919789612097;0.9060509554140127;0.8195894850558155
RandomForestClassifier;20000;27.786252737045288;1081;1752;192;175;0.8853125;0.8491751767478397;0.8606687898089171;0.8548833531039935
MLPClassifier;20000;1388.6761872768402;1135;1652;292;121;0.8709375;0.795374912403644;0.9036624203821656;0.846067834513604
