Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;20000;0.5942771434783936;974;1687;270;269;0.8315625;0.7829581993569131;0.7835880933226066;0.7832730197024527
SGDClassifier;20000;2.2388429641723633;1041;1582;375;202;0.8196875;0.7351694915254238;0.8374899436846339;0.7830011282437007
LinearSVC;20000;0.7005829811096191;1086;1638;319;157;0.85125;0.7729537366548043;0.8736926790024135;0.8202416918429004
GaussianNB;20000;6.385349988937378;1177;823;1134;66;0.625;0.5093033318909563;0.9469026548672567;0.6623522791221159
DecisionTreeClassifier;20000;149.14179372787476;1142;1563;394;101;0.8453125;0.7434895833333334;0.918744971842317;0.8218783735156531
RandomForestClassifier;20000;24.40605092048645;1073;1759;198;170;0.885;0.8442171518489379;0.8632341110217217;0.8536197295147177
MLPClassifier;20000;2005.3421113491058;1126;1629;328;117;0.8609375;0.7744154057771664;0.9058728881737731;0.8350018539117537
Logisticregression;20000;0.6076576709747314;1026;1606;294;274;0.8225;0.7772727272727272;0.7892307692307692;0.7832061068702288
SGDClassifier;20000;2.3056840896606445;1054;1579;321;246;0.8228125;0.7665454545454545;0.8107692307692308;0.7880373831775701
LinearSVC;20000;0.7345929145812988;1131;1572;328;169;0.8446875;0.7751884852638794;0.87;0.819862268938021
GaussianNB;20000;6.763175010681152;1233;747;1153;67;0.61875;0.5167644593461861;0.9484615384615385;0.669017905588714
DecisionTreeClassifier;20000;160.8870449066162;1173;1553;347;127;0.851875;0.7717105263157895;0.9023076923076923;0.8319148936170213
RandomForestClassifier;20000;25.523414611816406;1110;1709;191;190;0.8809375;0.8531898539584934;0.8538461538461538;0.8535178777393311
MLPClassifier;20000;1777.3664062023163;1181;1530;370;119;0.8471875;0.7614442295293359;0.9084615384615384;0.8284812346545072
Logisticregression;20000;0.5626780986785889;988;1705;272;235;0.8415625;0.7841269841269841;0.8078495502861816;0.7958115183246074
SGDClassifier;20000;2.2277276515960693;992;1702;275;231;0.841875;0.7829518547750592;0.8111201962387572;0.7967871485943775
LinearSVC;20000;0.700599193572998;1077;1654;323;146;0.8534375;0.7692857142857142;0.8806214227309894;0.8211971025543272
GaussianNB;20000;6.392364501953125;1163;814;1163;60;0.6178125;0.5;0.9509403107113655;0.6553958861651169
DecisionTreeClassifier;20000;153.17445421218872;1138;1598;379;85;0.855;0.7501647989452868;0.9304987735077678;0.8306569343065694
RandomForestClassifier;20000;23.604509353637695;1070;1788;189;153;0.893125;0.8498808578236696;0.874897792313982;0.8622078968573731
MLPClassifier;20000;2416.3767092227936;1108;1679;298;115;0.8709375;0.7880512091038406;0.9059689288634505;0.8429060479269684
Logisticregression;20000;0.6176483631134033;994;1654;273;279;0.8275;0.7845303867403315;0.7808326787117046;0.7826771653543307
SGDClassifier;20000;2.3596699237823486;1067;1529;398;206;0.81125;0.7283276450511945;0.8381775333857031;0.7794010226442659
LinearSVC;20000;0.7455737590789795;1106;1614;313;167;0.85;0.7794221282593375;0.8688138256087982;0.8216939078751858
GaussianNB;20000;6.574241638183594;1188;771;1156;85;0.6121875;0.5068259385665529;0.9332285938727416;0.6568979817528339
DecisionTreeClassifier;20000;160.70637965202332;1145;1552;375;128;0.8428125;0.7532894736842105;0.8994501178318932;0.8199069101324742
RandomForestClassifier;20000;26.529842138290405;1073;1737;190;200;0.878125;0.8495645288994458;0.842890809112333;0.8462145110410095
MLPClassifier;20000;2084.1008808612823;1148;1562;365;125;0.846875;0.7587574355584931;0.9018067556952082;0.8241206030150754
Logisticregression;20000;0.6206328868865967;1000;1637;309;254;0.8240625;0.7639419404125286;0.7974481658692185;0.7803355442840422
SGDClassifier;20000;2.360651731491089;1053;1568;378;201;0.8190625;0.7358490566037735;0.8397129186602871;0.7843575418994413
LinearSVC;20000;0.7495718002319336;1092;1608;338;162;0.84375;0.7636363636363637;0.8708133971291866;0.8137108792846499
GaussianNB;20000;6.592232704162598;1175;811;1135;79;0.620625;0.5086580086580087;0.9370015948963317;0.6593714927048262
DecisionTreeClassifier;20000;157.15116214752197;1141;1536;410;113;0.8365625;0.7356544165054804;0.9098883572567783;0.8135472370766489
RandomForestClassifier;20000;25.12801432609558;1081;1697;249;173;0.868125;0.812781954887218;0.8620414673046252;0.8366873065015479
MLPClassifier;20000;2339.502173423767;1121;1620;326;133;0.8565625;0.7747062888735314;0.8939393939393939;0.8300629396519806
