Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;10000;0.27022314071655273;939;1621;334;306;0.8;0.7376276512175962;0.7542168674698795;0.7458300238284352
SGDClassifier;10000;1.4014346599578857;988;1579;376;257;0.8021875;0.7243401759530792;0.793574297188755;0.7573783058643158
LinearSVC;10000;0.44158482551574707;1089;1571;384;156;0.83125;0.7393075356415478;0.8746987951807229;0.8013245033112583
GaussianNB;10000;1.6529526710510254;949;1474;481;296;0.7571875;0.6636363636363637;0.7622489959839357;0.7095327102803738
DecisionTreeClassifier;10000;59.53700351715088;1121;1542;413;124;0.8321875;0.7307692307692307;0.9004016064257028;0.8067650233897085
RandomForestClassifier;10000;9.32504153251648;1094;1706;249;151;0.875;0.8145941921072226;0.878714859437751;0.8454404945904174
MLPClassifier;10000;395.04113483428955;1114;1569;386;131;0.8384375;0.7426666666666667;0.8947791164658635;0.8116575591985429
Logisticregression;10000;0.24973607063293457;956;1630;305;309;0.808125;0.7581284694686756;0.7557312252964427;0.7569279493269991
SGDClassifier;10000;1.343085765838623;1117;1370;565;148;0.7771875;0.664090368608799;0.88300395256917;0.7580590430946725
LinearSVC;10000;0.44762730598449707;1093;1569;366;172;0.831875;0.7491432488005483;0.8640316205533597;0.802496328928047
GaussianNB;10000;1.6477837562561035;974;1442;493;291;0.755;0.6639400136332652;0.7699604743083004;0.7130307467057101
DecisionTreeClassifier;10000;63.3021354675293;1145;1548;387;120;0.8415625;0.7473890339425587;0.9051383399209486;0.8187343582409725
RandomForestClassifier;10000;9.522847890853882;1110;1690;245;155;0.875;0.8191881918819188;0.8774703557312253;0.8473282442748092
MLPClassifier;10000;459.15431094169617;1127;1582;353;138;0.8465625;0.7614864864864865;0.8909090909090909;0.8211293260473589
Logisticregression;10000;0.24729061126708984;938;1651;305;306;0.8090625;0.7546259050683829;0.7540192926045016;0.7543224768797748
SGDClassifier;10000;1.2976248264312744;1033;1526;430;211;0.7996875;0.7060833902939166;0.8303858520900321;0.7632065016623568
LinearSVC;10000;0.3310122489929199;1079;1611;345;165;0.840625;0.7577247191011236;0.867363344051447;0.8088455772113944
GaussianNB;10000;1.3979716300964355;923;1491;465;321;0.754375;0.6649855907780979;0.7419614147909968;0.7013677811550152
DecisionTreeClassifier;10000;60.08529019355774;1132;1536;420;112;0.83375;0.729381443298969;0.909967845659164;0.8097281831187411
RandomForestClassifier;10000;10.224294424057007;1088;1728;228;156;0.88;0.8267477203647416;0.8745980707395499;0.8500000000000001
MLPClassifier;10000;378.6628818511963;1109;1609;347;135;0.849375;0.7616758241758241;0.8914790996784566;0.8214814814814814
Logisticregression;10000;0.28280138969421387;940;1622;322;316;0.800625;0.7448494453248812;0.7484076433121019;0.7466243050039715
SGDClassifier;10000;1.3900785446166992;848;1693;251;408;0.7940625;0.7716105550500455;0.6751592356687898;0.7201698513800424
LinearSVC;10000;0.4471886157989502;1071;1576;368;185;0.8271875;0.744266851980542;0.8527070063694268;0.7948051948051948
GaussianNB;10000;1.6374638080596924;977;1414;530;279;0.7471875;0.648307896483079;0.7778662420382165;0.7072023163228376
DecisionTreeClassifier;10000;60.3947274684906;1130;1536;408;126;0.833125;0.7347204161248374;0.8996815286624203;0.8088761632068718
RandomForestClassifier;10000;10.748904943466187;1087;1702;242;169;0.8715625;0.81790820165538;0.8654458598726115;0.8410058027079303
MLPClassifier;10000;489.7475497722626;1117;1560;384;139;0.8365625;0.7441705529646903;0.8893312101910829;0.8103010518679724
Logisticregression;10000;0.24577832221984863;950;1605;312;333;0.7984375;0.7527733755942948;0.7404520654715511;0.7465618860510805
SGDClassifier;10000;1.2991743087768555;994;1568;349;289;0.800625;0.7401340282948623;0.774746687451286;0.7570449352627572
LinearSVC;10000;0.3943464756011963;1108;1596;321;175;0.845;0.7753673897830651;0.8636009353078722;0.8171091445427728
GaussianNB;10000;1.4276533126831055;1045;1403;514;238;0.765;0.6703014753046825;0.8144972720187061;0.7353976073187897
DecisionTreeClassifier;10000;62.079466342926025;1173;1533;384;110;0.845625;0.7533718689788054;0.9142634450506625;0.8260563380281689
RandomForestClassifier;10000;10.091881275177002;1111;1702;215;172;0.8790625;0.8378582202111614;0.8659392049883087;0.8516673054810272
MLPClassifier;10000;437.2067291736603;1156;1550;367;127;0.845625;0.7590282337491793;0.9010132501948558;0.8239486813970064
